id,title,status,revenue,runtime,adult,backdrop_path,budget,homepage,imdb_id,original_language,original_title,overview,poster_path,tagline,genres,production_companies,production_countries,spoken_languages,keywords,average_rating,ratings_count,release_year
173897,Resident Evil: The Final Chapter,Released,312242626,107,FALSE,/sQRfWdDxH53Vk7ZJ1UqzcaBHocO.jpg,40000000,,tt2592614,en,Resident Evil: The Final Chapter,"Picking up immediately after the events in Resident Evil: Retribution, Alice is the only survivor of what was meant to be humanity's final stand against the undead. Now, she must return to where the nightmare began - The Hive in Raccoon City, where the Umbrella Corporation is gathering its forces for a final strike against the only remaining survivors of the apocalypse.",/7glPlA0xPpxPxBu0TnY4ulQVCV1.jpg,Evil comes home,"Action, Horror, Science Fiction","Screen Gems, Constantin Film, Impact Pictures, Davis Films","Canada, France, Germany, United States of America",English,"helicopter, monster, underground, dystopia, mutant, post-apocalyptic future, sequel, end of the world, female soldier, zombie, armageddon, based on video game, heroine, resident evil",6.108,2860,2016
511987,Crawl,Released,91542097,88,FALSE,/lm4xH0YwFbVvTgdtau1thNK5S6J.jpg,13500000,http://crawlmovie.com,tt8364368,en,Crawl,"When a huge hurricane hits her hometown in Florida, Haley ignores evacuation orders to look for her father. After finding him badly wounded, both are trapped by the flood. With virtually no time to escape the storm, they discover that rising water levels are the least of their problems.",/mKxpYRIrCZLxZjNqpocJ2RdQW8v.jpg,They were here first,"Thriller, Horror, Action","Raimi Productions, Fire Axe Pictures, Serbia Creates Film, Ontario Creates","Canada, Serbia, United States of America",English,"florida, hurricane, animal attack, alligator, creature, flood, animal horror, crawlspace, father daughter relationship",6.312,2858,2019
9506,Anger Management,Released,195745823,106,FALSE,/zuEsiWC4XBKPQTYCNIrMdRkvczZ.jpg,75000000,,tt0305224,en,Anger Management,"After a small misunderstanding aboard an airplane escalates out of control, timid businessman Dave Buznik is ordered by the court to undergo anger management therapy at the hands of specialist Dr. Buddy Rydell. But when Buddy steps up his aggressive treatment by moving in, Dave goes from mild to wild as the unorthodox treatment wreaks havoc with his life.",/ezitJY9RTk3ReXc1nWhXjmU9cz0.jpg,Feel the Love.,Comedy,"Columbia Pictures, Revolution Studios, Happy Madison Productions",United States of America,English,"penalty, therapist, psychology, aggression, rage, anger, brooklyn, new york city, anger management, anger issues",6.139,2857,2003
531309,Brightburn,Released,33224654,91,FALSE,/uHEI6v8ApQusjbaRZ8o7WcLYeWb.jpg,6000000,https://www.brightburn.movie/,tt7752126,en,Brightburn,"What if a child from another world crash-landed on Earth, but instead of becoming a hero to mankind, he proved to be something far more sinister?",/sJWwkYc9ajwnPRSkqj8Aue5JbKz.jpg,Evil has found its superhero,"Horror, Science Fiction, Thriller, Mystery","Troll Court Entertainment, Screen Gems, Stage 6 Films, The H Collective",United States of America,English,"husband wife relationship, child murder, country life, super power, super villain, kansas state, father son relationship, mother son relationship, american countryside",6.106,2857,2019
818,Austin Powers in Goldmember,Released,296938801,93,FALSE,/zER4hGamWRkJVS8IZ5bXMpKiDDx.jpg,63000000,http://www.austinpowers.com/,tt0295178,en,Austin Powers in Goldmember,"The world's most shagadelic spy continues his fight against Dr. Evil. This time, the diabolical doctor and his clone, Mini-Me, team up with a new foe—'70s kingpin Goldmember. While pursuing the team of villains to stop them from world domination, Austin gets help from his dad and an old girlfriend.",/aSNnxSNc7HftXa6EULM4Lq6mUDn.jpg,He's still evil... He's still deadly... and he's still surrounded by frickin' idiots!,"Comedy, Crime, Science Fiction","Eric's Boy, New Line Cinema, Team Todd, Gratitude International, Moving Pictures",United States of America,"English, Japanese, German, French","gold, helicopter, sibling relationship, saving the world, submarine, asteroid, undercover, submachine gun, clone, spy, journey in the past, car journey, nightclub, laser, sumo ringer, family history, time travel, conciliation, clowning, overweight man, belgium, parody, james bond spoof, duringcreditsstinger",5.998,2857,2002
462,Erin Brockovich,Released,256271286,131,FALSE,/3HmLKhahTxX2ALTWlagr92pZrU7.jpg,52000000,,tt0195685,en,Erin Brockovich,"A twice-divorced mother of three who sees an injustice, takes on the bad guy and wins -- with a little help from her push-up bra. Erin goes to work for an attorney and comes across medical records describing illnesses clustered in one nearby town. She starts investigating and soon exposes a monumental cover-up.",/xbMEHLu36LyptPD29FxVTndpYZ1.jpg,She brought a small town to its feet and a huge company to its knees.,Drama,Jersey Films,United States of America,English,"biography, based on true story, single mother, water pollution, environmental law, legal drama, corporate negligence",7.417,2855,2000
10521,Bride Wars,Released,115375850,89,FALSE,/bDYeMDIKeetY6J3ZM6POwnf1xc7.jpg,30000000,https://www.newregency.com/movies/bride-wars,tt0901476,en,Bride Wars,Two best friends become rivals when their respective weddings are accidentally booked for the same day.,/eyXT8tmUoyHrg7YX1UVjmecHCWP.jpg,May the best bride win.,"Comedy, Romance","Fox 2000 Pictures, Regency Enterprises, New Regency Pictures, Biride Productions, Dune Entertainment, Dune Entertainment III",United States of America,English,"friendship, bride, engagement, rivalry, wedding, family feud",6.232,2851,2009
8967,The Tree of Life,Released,54674226,139,FALSE,/krDjqWqLAewVYiU8fDQLHO7gPmf.jpg,32000000,http://www.twowaysthroughlife.com/,tt0478304,en,The Tree of Life,"The impressionistic story of a Texas family in the 1950s. The film follows the life journey of the eldest son, Jack, through the innocence of childhood to his disillusioned adult years as he tries to reconcile a complicated relationship with his father. Jack finds himself a lost soul in the modern world, seeking answers to the origins and meaning of life while questioning the existence of faith.",/l8cwuB5WJSoj4uMAsnzuHBOMaSJ.jpg,Nothing stands still.,"Drama, Fantasy","Plan B Entertainment, Fox Searchlight Pictures, River Road Entertainment, Brace Cove Productions, Summit Entertainment",United States of America,English,"sibling relationship, parent child relationship, afterlife, christianity, philosophy, tree, sun, texas, telegram, bible, surrealism, meteor, coming of age, spirituality, grief, space, religion, memory, dinosaur, birth, death, grace, childhood, death of brother, silhouette, existentialism, organist, masculinity, cosmos, 1950s, newborn baby, organ player, waco texas, father son relationship, mother son relationship, brother brother relationship, life, pantheism",6.726,2850,2011
12133,Step Brothers,Released,128107642,98,FALSE,/n53EPBWZiz69sYzNDZmamYHdo6Q.jpg,65000000,,tt0838283,en,Step Brothers,"Brennan Huff and Dale Doback might be grown men. But that doesn't stop them from living at home and turning into jealous, competitive stepbrothers when their single parents marry. Brennan's constant competition with Dale strains his mom's marriage to Dale's dad, leaving everyone to wonder whether they'll ever see eye to eye.",/jV0eDViuTRf9cmj4H0JNvbvaNbR.jpg,They grow up so fast.,Comedy,"Columbia Pictures, Mosaic Media Group, Gary Sanchez Productions, Relativity Media, Apatow Productions",United States of America,"English, Spanish","becoming an adult, hostility, autonomy, childhood trauma, stepbrother, slacker, man child, buddy, aftercreditsstinger, duringcreditsstinger",6.557,2850,2008
10022,The Pacifier,Released,198636868,95,FALSE,/4P4sIkczJfOsX5QKDy5gf5RPqFQ.jpg,56000000,http://movies.disney.com/the-pacifier,tt0395699,en,The Pacifier,Navy SEAL Shane Wolfe is handed a new assignment: Protect the five Plummer kids from enemies of their recently deceased father -- a government scientist whose top-secret experiment remains hidden in the kids' house.,/ayVLPibrtazh7U5FliWRLDMmG3d.jpg,Welcome to the infantry.,"Comedy, Family, Action","Walt Disney Pictures, Spyglass Entertainment",United States of America,English,"mission, bodybuilder, body guard, scientist, family, u.s. soldier, death of husband, us military, action hero, male nanny",6.055,2845,2005
